Year,GFDL,IPSL,HadGEM,CESM,MPI
2034,-2.0829,-19.3538,-18.3507,-29.7309,-20.8523
2035,-9.9786,-30.6712,-16.6266,-30.2818,-15.2629
2036,-20.7713,-37.1607,-11.3881,-30.53,-9.0345
2037,0.8717,-32.6091,-15.7626,-28.8209,-5.8154
2038,-11.5762,-32.3528,-23.0812,-29.5952,-11.6973
2039,-18.3735,-28.6194,-23.4951,-30.6529,-14.341
2040,-10.8431,-34.5711,-22.0516,-32.4841,-13.0975
2041,-12.2594,-27.9627,-24.9878,-32.2059,-11.3305
2042,-8.6346,-35.856,-21.5994,-30.6038,-12.465
2043,-10.524,-34.349,-9.8963,-30.1903,-20.9768
2044,-18.0567,-45.6979,-12.7951,-32.0859,-22.0358
2045,-17.7274,-49.5484,-15.9519,-34.1892,-13.1244
2046,-12.4017,-45.3348,-18.427,-32.4911,-13.6627
2047,-14.2899,-33.5033,-17.5765,-29.9659,-17.3977
2048,-13.9325,-37.0035,-24.8806,-31.3729,-17.0606
2049,-7.3038,-46.6499,-37.606,-35.5083,-12.6192
2050,-20.7058,-45.3828,-41.1344,-36.6995,-12.718
2051,-23.3958,-43.8477,-28.4271,-34.4896,-16.0287
2052,-8.7777,-41.7353,-30.662,-34.9491,-16.7178
2053,-15.9876,-46.3772,-12.7309,-35.5855,-17.8594
2054,-19.3143,-49.5943,-15.3253,-35.5368,-21.2927
2055,-5.3711,-51.3123,-16.5564,-36.5334,-24.22
2056,-10.3906,-50.104,-24.2568,-36.4948,-21.8641
2057,-19.3973,-51.9914,-16.9324,-42.1667,-19.4748
2058,-17.5379,-41.6093,-17.2877,-44.3888,-22.5858
2059,-4.0635,-42.9096,-32.8297,-39.9652,-25.6391
2060,-10.6226,-41.7234,-26.6076,-39.7908,-24.0753
2061,-10.6086,-37.928,-20.3856,-39.7597,-20.1361
2062,-10.1208,-42.888,-13.7194,-41.2512,-20.1258
2063,-24.7441,-45.2912,-23.8256,-39.2073,-20.2581
2064,-19.9715,-52.0297,-33.1685,-40.888,-22.1941
2065,-9.967,-41.7367,-17.0028,-44.9937,-16.8086
2066,-14.5333,-49.3285,-28.5738,-46.9384,-18.1175
2067,-14.2147,-46.9961,-32.1187,-44.1713,-17.2941
2068,-16.2364,-43.6915,-33.1115,-42.4711,-17.5625
2069,-27.1202,-52.1953,-37.4199,-41.7359,-25.5034
2070,-21.5968,-53.8317,-36.5403,-44.1804,-24.0006
2071,-13.067,-52.4487,-37.6176,-45.4742,-18.8462
2072,-15.9586,-46.8171,-38.4324,-45.4563,-20.7484
2073,-14.2296,-51.9243,-21.0873,-46.9147,-25.6725
2074,-9.652,-59.8734,-12.5855,-45.7819,-27.3228
2075,-16.5404,-55.8903,-26.6044,-45.6293,-22.1066
2076,-14.4212,-52.0874,-37.4091,-43.6923,-24.6037
2077,-17.6936,-50.7042,-35.283,-48.076,-28.8863
2078,-21.0197,-55.1605,-35.4306,-47.9281,-27.3606
2079,-15.5315,-54.3891,-37.0027,-48.531,-30.1475
2080,-22.9399,-53.7149,-30.1523,-51.0296,-22.2939
2081,-22.5328,-52.3713,-29.1957,-52.4207,-22.8288
2082,-18.9919,-52.9738,-32.7512,-51.3917,-28.2046
2083,-18.4316,-51.5203,-25.1434,-51.3549,-28.1546
2084,-14.7097,-61.3067,-30.1121,-51.9309,-32.0625
2085,-18.7994,-68.493,-35.0809,-55.1803,-33.2497
2086,-19.0941,-61.3981,-28.9622,-54.3269,-29.7493
2087,-18.7289,-57.3017,-33.5124,-55.745,-29.3086
2088,-19.7351,-58.1831,-37.6878,-54.5739,-32.3721
2089,-20.4337,-61.6273,-32.2084,-52.6674,-36.2062
2090,-18.3384,-57.4062,-34.3146,-53.0089,-33.8092
2091,-17.7313,-57.8516,-21.2252,-56.7963,-35.2829
2092,-19.8715,-56.878,-44.2409,-57.3594,-32.7409
2093,-21.3578,-57.8305,-32.0837,-54.2022,-33.1418
2094,-13.8101,-49.1311,-20.7503,-53.354,-36.7496
2095,-16.1394,-61.1906,-26.3083,-57.2728,-33.2838
2096,-18.836,-61.3858,-32.1671,-59.307,-28.0565
2097,-22.8304,-66.7865,-32.8322,-58.154,-32.5511
2098,-21.9087,-68.1154,-41.7227,-57.9692,-35.9299
2099,-22.2964,-65.6144,-43.9476,-58.8237,-31.2103
2100,-18.8422,-66.39,-46.1724,-59.8865,-31.0226
